sustain	维持；支撑；使持续。
efficient	高效的；有效率的。
consistent	持续的；一贯的。
expand	扩大；拓展。
translate	翻译；传达。
approach	方法；接近；着手处理。
beneficial	有益的；有利的。
concentrate	集中；专注。
constructive	建设性的。
contribute	贡献；促成。
crucial	关键的；至关重要的。
demonstrate	表明；展示；论证。
effective	有效的；起作用的。
essential	必要的；本质的。
evaluate	评估；评价。
flexible	灵活的。
frequent	频繁的。
generate	产生；引起。
gradually	逐渐地。
improve	改善；提高。
independent	独立的。
influence	影响。
maintain	保持；维持。
meaningful	有意义的。
motivate	激励；促使。
obvious	明显的。
participate	参与。
persistent	坚持的；持续的。
practical	实际的；实用的。
precise	准确的；精确的。
reflect	反映；反思。
relevant	相关的。
reliable	可靠的。
require	需要；要求。
resource	资源。
significant	重要的；显著的。
strategy	策略；方法。
suitable	合适的。
transform	改变；转化。
valuable	有价值的。
