important	crucial；essential；significant。
help	assist；support；be of help to。
improve	enhance；promote；boost。
problem	issue；difficulty；challenge。
show	demonstrate；indicate；reveal。
think	believe；suppose；hold the view that。
because	since；as；due to the fact that。
result	outcome；consequence；effect。
useful	beneficial；helpful；valuable。
start	begin；commence；set out.
change	alter；transform；modify。
quickly	rapidly；promptly；in a short time。
common	widespread；shared；frequent。
choose	select；opt for；pick。
need	require；be in need of；call for。
